c-ip,Organization
108.174.128.70,"MIAHS-1 (The Michener Institute for Applied Health Sciences)"
108.179.128.182,"UWND (University of Washington)"
108.179.128.78,"UWND (University of Washington)"
108.179.132.159,"UWND (University of Washington)"
108.179.132.170,"UWND (University of Washington)"
108.179.133.79,"UWND (University of Washington)"
108.179.134.108,"UWND (University of Washington)"
108.179.134.132,"UWND (University of Washington)"
108.179.144.234,"UWND (University of Washington)"
108.179.145.115,"UWND (University of Washington)"
108.179.145.190,"UWND (University of Washington)"
108.179.148.58,"UWND (University of Washington)"
108.179.149.111,"UWND (University of Washington)"
108.179.149.232,"UWND (University of Washington)"
108.179.157.194,"UWND (University of Washington)"
108.179.160.116,"UWND (University of Washington)"
108.179.160.78,"UWND (University of Washington)"
108.179.161.105,"UWND (University of Washington)"
108.179.161.117,"UWND (University of Washington)"
108.179.161.93,"UWND (University of Washington)"
108.179.162.130,"UWND (University of Washington)"
108.179.163.100,"UWND (University of Washington)"
108.179.163.143,"UWND (University of Washington)"
108.179.163.234,"UWND (University of Washington)"
108.179.163.42,"UWND (University of Washington)"
108.179.163.60,"UWND (University of Washington)"
108.179.168.130,"UWND (University of Washington)"
108.179.168.199,"UWND (University of Washington)"
108.179.169.220,"UWND (University of Washington)"
108.179.169.98,"UWND (University of Washington)"
108.179.170.19,"UWND (University of Washington)"
108.179.170.251,"UWND (University of Washington)"
108.179.176.29,"UWND (University of Washington)"
108.179.179.93,"UWND (University of Washington)"
108.179.180.216,"UWND (University of Washington)"
108.179.182.199,"UWND (University of Washington)"
108.179.182.48,"UWND (University of Washington)"
108.179.183.249,"UWND (University of Washington)"
108.179.187.156,"UWND (University of Washington)"
108.179.188.100,"UWND (University of Washington)"
108.179.190.188,"UWND (University of Washington)"
12.110.165.98,"VMLL-1 (VITRO MOLECULAR LABORATORIES L)"
12.13.176.132,"SPELMA (Spelman College)"
12.131.230.26,"CATAL-26 (CATALYST BIOSCIENCES, INC.)"
12.131.93.13,"SMCA-7 (STILLWATER MEDICAL CENTER AUT)"
12.132.22.5,"HUNTS-2 (HUNTSVILLE MEMORIAL HOSPITAL)"
12.132.23.230,"CYBER-105 (CYBERONICS, INC)"
12.133.6.2,"SMHA (SOUTHEAST MISSOURI HOSPITAL ASSOCIATION)"
12.144.110.131,"HOSPI-9 (HOSPIRA INC.)"
12.149.137.10,"ACCBI-14 (ACC-BIOPHARMX INC)"
12.16.224.242,"AB-177 (ACC-ARMO BIOSCIENCES)"
12.23.163.230,"BPC-63 (BIOTEST PHARMACEUTICALS CORPORAT)"
12.25.213.10,"CHINE-2 (CHINESE HOSPITAL)"
12.26.120.34,"CH-349 (CLEVELAND HEARTLABS INC)"
12.27.71.34,"LT-79 (LIFE TECHNOLOGIES)"
12.28.229.234,"HP-249 (HORIZON PHARMA, INC)"
12.29.172.132,"PG-142 (PROTEINTECH GROUP INC)"
12.31.204.130,"SSMC-11 (SUNSET STRIP MEDICAL CENTER INC)"
12.33.240.66,"AB-710 (ASSEMBLY BIOSCIENCES)"
12.34.235.244,"CC-1867 (CERILLIANT CORPORATION)"
12.39.245.62,"AAC-101 (AMERICAN ASSOCIATION FOR CANCER)"
12.40.83.20,"RFU-5 (ROSALIND FRANKLIN UNIVERSITY)"
12.45.169.2,"CL-907 (CORE LABORATORIES)"
12.46.108.161,"LABCY-6 (LABCYTE)"
12.46.192.66,"ABCOR-6 (ABCORE)"
12.49.19.201,"UIAC (University of Illinois at Chicago)"
12.49.19.204,"UIAC (University of Illinois at Chicago)"
12.49.84.150,"RIGEL-1 (RIGEL PHARMACEUTICAL)"
12.50.6.138,"IBR-8 (INDIANA BIOSCIENCES RESEARCHI)"
12.54.94.109,"SMSHSC (Siemens Medical Solutions Health Services Corporation)"
12.54.94.110,"SMSHSC (Siemens Medical Solutions Health Services Corporation)"
12.69.150.218,"AL-1147 (ACC-VECTOR LABS)"
12.7.232.130,"HEALT-190 (HEALTH INFORMATION DESIGNS INC)"
12.70.41.193,"XU-11 (XBIOTECH USA, INC.)"
12.9.177.234,"AB-256 (ADVANCE BIOLOGICS)"
128.100.134.128,"UNIVER-36 (University of Toronto)"
128.100.134.223,"UNIVER-36 (University of Toronto)"
128.100.134.62,"UNIVER-36 (University of Toronto)"
128.100.134.66,"UNIVER-36 (University of Toronto)"
128.100.134.77,"UNIVER-36 (University of Toronto)"
128.100.134.84,"UNIVER-36 (University of Toronto)"
128.100.134.85,"UNIVER-36 (University of Toronto)"
128.100.18.102,"UNIVER-36 (University of Toronto)"
128.100.183.104,"UNIVER-36 (University of Toronto)"
128.100.183.226,"UNIVER-36 (University of Toronto)"
128.100.204.100,"UNIVER-36 (University of Toronto)"
128.100.204.189,"UNIVER-36 (University of Toronto)"
128.100.204.71,"UNIVER-36 (University of Toronto)"
128.100.207.111,"UNIVER-36 (University of Toronto)"
128.100.207.170,"UNIVER-36 (University of Toronto)"
128.100.207.198,"UNIVER-36 (University of Toronto)"
128.100.207.209,"UNIVER-36 (University of Toronto)"
128.100.207.70,"UNIVER-36 (University of Toronto)"
128.100.207.80,"UNIVER-36 (University of Toronto)"
128.100.208.187,"UNIVER-36 (University of Toronto)"
128.100.208.203,"UNIVER-36 (University of Toronto)"
128.100.208.23,"UNIVER-36 (University of Toronto)"
128.100.208.47,"UNIVER-36 (University of Toronto)"
128.100.211.4,"UNIVER-36 (University of Toronto)"
128.100.254.11,"UNIVER-36 (University of Toronto)"
128.100.47.40,"UNIVER-36 (University of Toronto)"
128.100.48.70,"UNIVER-36 (University of Toronto)"
128.100.49.190,"UNIVER-36 (University of Toronto)"
128.100.71.133,"UNIVER-36 (University of Toronto)"
128.100.83.151,"UNIVER-36 (University of Toronto)"
128.100.83.190,"UNIVER-36 (University of Toronto)"
128.100.83.195,"UNIVER-36 (University of Toronto)"
128.100.83.211,"UNIVER-36 (University of Toronto)"
128.100.83.247,"UNIVER-36 (University of Toronto)"
128.100.83.31,"UNIVER-36 (University of Toronto)"
128.100.83.35,"UNIVER-36 (University of Toronto)"
128.100.83.75,"UNIVER-36 (University of Toronto)"
128.101.103.128,"UNIVER-233-Z (University of Minnesota)"
128.101.103.130,"UNIVER-233-Z (University of Minnesota)"
128.101.103.139,"UNIVER-233-Z (University of Minnesota)"
128.101.103.140,"UNIVER-233-Z (University of Minnesota)"
128.101.103.143,"UNIVER-233-Z (University of Minnesota)"
128.101.103.144,"UNIVER-233-Z (University of Minnesota)"
128.101.103.146,"UNIVER-233-Z (University of Minnesota)"
128.101.103.148,"UNIVER-233-Z (University of Minnesota)"
128.101.103.152,"UNIVER-233-Z (University of Minnesota)"
128.101.103.155,"UNIVER-233-Z (University of Minnesota)"
128.101.103.165,"UNIVER-233-Z (University of Minnesota)"
128.101.103.176,"UNIVER-233-Z (University of Minnesota)"
128.101.103.182,"UNIVER-233-Z (University of Minnesota)"
128.101.103.195,"UNIVER-233-Z (University of Minnesota)"
128.101.103.2,"UNIVER-233-Z (University of Minnesota)"
128.101.103.201,"UNIVER-233-Z (University of Minnesota)"
128.101.103.223,"UNIVER-233-Z (University of Minnesota)"
128.101.103.238,"UNIVER-233-Z (University of Minnesota)"
128.101.103.251,"UNIVER-233-Z (University of Minnesota)"
128.101.103.77,"UNIVER-233-Z (University of Minnesota)"
128.101.103.84,"UNIVER-233-Z (University of Minnesota)"
128.101.129.202,"UNIVER-233-Z (University of Minnesota)"
128.101.129.235,"UNIVER-233-Z (University of Minnesota)"
